num_chars_from,special_chars_from,uppercase_percentage_from,date,subject,body,label
24,3,57.14285714285714,13,1,2,1
34,3,0.0,13,2,2,1
34,3,0.0,13,2,2,1
25,2,0.0,22,2,2,1
25,2,0.0,21,2,2,1
16,2,0.0,10,3,3,1
24,2,0.0,09,2,3,1
24,2,0.0,10,1,3,1
17,2,0.0,09,3,2,1
24,3,0.0,22,2,4,1
22,2,0.0,00,2,3,1
22,2,0.0,00,2,2,1
19,2,0.0,09,3,2,1
25,2,0.0,14,2,2,1
26,4,0.0,10,3,4,1
19,3,6.25,16,3,4,1
21,2,0.0,22,3,1,1
16,3,0.0,14,2,4,1
17,3,0.0,19,3,4,1
NULL,NULL,NULL,15,3,3,1
28,3,0.0,18,4,3,1
14,3,0.0,09,2,2,1
20,3,0.0,15,2,2,1
27,3,0.0,23,1,3,1
14,3,0.0,16,2,3,1
15,2,0.0,15,3,4,1
18,2,12.5,01,1,3,1
24,2,9.090909090909092,20,3,3,1
18,2,0.0,23,3,3,1
22,2,0.0,08,3,3,1
29,2,0.0,11,3,3,1
20,2,0.0,12,3,3,1
18,2,0.0,18,3,1,1
19,2,0.0,19,1,3,1
18,2,0.0,19,3,1,1
22,2,0.0,15,2,3,1
20,3,0.0,09,3,3,1
21,2,0.0,16,2,3,1
21,2,0.0,16,3,3,1
27,2,0.0,08,3,3,1
20,3,0.0,09,3,3,1
18,2,0.0,18,2,3,1
21,3,5.555555555555555,21,3,5,1
19,3,0.0,22,2,5,1
34,3,0.0,05,3,2,1
17,3,0.0,13,1,4,1
24,3,0.0,14,3,3,1
23,3,0.0,16,3,2,1
21,2,15.789473684210526,14,3,3,1
17,2,0.0,,3,3,1
20,2,0.0,12,2,3,1
16,2,0.0,05,4,2,1
17,2,0.0,19,2,2,1
24,3,0.0,08,3,3,1
26,4,0.0,15,3,3,1
24,4,0.0,02,3,3,1
24,4,0.0,02,3,3,1
19,2,11.76470588235294,05,1,4,1
20,2,0.0,13,3,3,1
18,2,0.0,16,3,2,1
30,3,0.0,15,3,2,1
34,5,24.137931034482758,05,2,3,1
27,2,0.0,01,2,3,1
27,2,0.0,02,3,3,1
27,2,0.0,02,2,3,1
27,2,0.0,02,3,3,1
17,2,0.0,10,3,4,1
20,2,0.0,16,2,2,1
29,2,0.0,09,2,3,1
24,3,23.809523809523807,03,1,3,1
16,2,0.0,13,2,3,1
26,2,0.0,21,3,4,1
21,2,0.0,13,2,4,1
25,2,13.043478260869565,17,3,3,1
23,3,0.0,21,2,4,1
26,2,0.0,21,3,4,1
17,2,0.0,17,1,3,1
14,2,16.666666666666664,00,2,3,1
20,2,0.0,16,3,3,1
20,2,0.0,16,3,3,1
14,2,16.666666666666664,15,2,4,1
15,2,15.384615384615385,16,2,4,1
18,2,12.5,16,2,4,1
20,3,0.0,01,2,3,1
13,2,0.0,16,2,4,1
28,3,0.0,15,2,3,1
20,2,5.555555555555555,15,2,4,1
16,3,0.0,16,2,3,1
25,3,0.0,13,3,5,1
29,2,0.0,14,3,3,1
26,2,0.0,22,3,1,1
