num_chars_from,special_chars_from,uppercase_percentage_from,date,subject,body,label
22.0,2.0,0.0,5.0,2,4,1
26.0,2.0,0.0,12.0,2,4,0
17.0,2.0,0.0,2.0,2,1,0
20.0,2.0,0.0,17.0,3,4,1
13.0,2.0,18.181818181818183,13.0,1,4,1
17.0,2.0,0.0,9.0,3,1,1
24.0,3.0,0.0,16.0,1,2,0
21.0,3.0,0.0,19.0,2,0,0
18.0,3.0,20.0,23.0,1,3,1
18.0,2.0,0.0,16.0,2,1,0
21.0,3.0,0.0,11.0,2,0,0
24.0,3.0,0.0,14.0,2,3,1
32.0,3.0,0.0,17.0,2,3,0
19.0,2.0,0.0,15.0,0,0,0
20.0,3.0,0.0,12.0,2,2,0
14.0,2.0,0.0,12.0,1,3,1
20.0,3.0,0.0,10.0,2,2,0
19.0,2.0,0.0,19.0,2,3,1
,,,,2,5,1
16.0,2.0,0.0,21.0,0,2,0
80.0,14.0,0.0,1.0,2,3,1
39.0,4.0,0.0,14.0,3,4,1
18.0,3.0,0.0,17.0,2,0,0
24.0,2.0,0.0,10.0,3,3,1
25.0,3.0,9.090909090909092,10.0,2,3,1
21.0,2.0,0.0,8.0,2,3,1
26.0,3.0,8.695652173913043,15.0,1,3,1
20.0,2.0,0.0,6.0,3,3,1
25.0,2.0,0.0,,3,4,1
18.0,3.0,0.0,15.0,2,1,0
25.0,3.0,0.0,8.0,2,0,0
20.0,2.0,0.0,0.0,2,2,0
20.0,2.0,0.0,16.0,2,1,0
32.0,3.0,0.0,7.0,2,2,0
17.0,3.0,0.0,20.0,3,2,1
18.0,2.0,0.0,20.0,2,1,0
20.0,3.0,0.0,2.0,2,2,0
17.0,2.0,0.0,21.0,3,2,1
41.0,4.0,0.0,11.0,3,4,1
29.0,2.0,0.0,8.0,3,3,0
38.0,5.0,0.0,1.0,3,1,0
26.0,3.0,0.0,11.0,2,3,1
21.0,2.0,0.0,8.0,3,3,0
18.0,3.0,0.0,10.0,2,0,0
20.0,3.0,0.0,13.0,2,2,0
17.0,3.0,0.0,11.0,3,2,1
20.0,3.0,0.0,8.0,2,1,0
28.0,3.0,0.0,21.0,2,1,1
29.0,3.0,0.0,5.0,3,3,1
28.0,3.0,0.0,4.0,2,1,1
17.0,2.0,0.0,17.0,2,1,0
18.0,2.0,0.0,15.0,2,0,0
18.0,2.0,0.0,15.0,2,1,0
23.0,2.0,0.0,21.0,3,4,1
24.0,2.0,0.0,11.0,3,4,1
20.0,3.0,0.0,8.0,2,2,0
38.0,3.0,0.0,11.0,2,2,0
29.0,3.0,0.0,13.0,2,3,1
20.0,3.0,0.0,2.0,2,1,0
18.0,2.0,0.0,6.0,3,3,1
15.0,2.0,0.0,4.0,1,3,1
25.0,3.0,0.0,9.0,2,0,0
17.0,2.0,0.0,16.0,2,0,0
32.0,2.0,0.0,16.0,2,2,1
22.0,3.0,0.0,21.0,3,3,1
92.0,17.0,0.0,22.0,2,2,1
20.0,3.0,0.0,10.0,2,2,0
23.0,3.0,0.0,6.0,2,1,0
24.0,3.0,0.0,23.0,2,2,1
40.0,3.0,5.405405405405405,11.0,3,3,1
18.0,2.0,0.0,1.0,3,4,1
25.0,3.0,0.0,3.0,1,3,1
18.0,2.0,0.0,21.0,2,2,1
29.0,2.0,0.0,17.0,4,1,0
16.0,2.0,0.0,8.0,3,4,0
38.0,2.0,0.0,6.0,1,2,1
32.0,2.0,20.0,18.0,2,2,1
27.0,2.0,0.0,23.0,3,3,1
39.0,3.0,0.0,6.0,2,1,1
55.0,5.0,0.0,7.0,2,1,1
31.0,3.0,0.0,15.0,5,4,0
26.0,3.0,0.0,21.0,2,0,0
18.0,2.0,0.0,23.0,2,1,0
20.0,3.0,0.0,4.0,2,2,0
21.0,3.0,0.0,15.0,3,2,1
23.0,3.0,0.0,14.0,2,2,0
23.0,3.0,0.0,12.0,1,1,0
33.0,3.0,0.0,8.0,3,4,1
26.0,3.0,0.0,20.0,2,0,0
19.0,4.0,0.0,20.0,2,2,0
26.0,3.0,0.0,23.0,2,1,0
18.0,2.0,0.0,16.0,2,1,0
24.0,3.0,0.0,23.0,1,2,1
28.0,3.0,0.0,18.0,2,1,0
20.0,3.0,0.0,1.0,2,3,0
21.0,3.0,0.0,14.0,2,2,0
19.0,2.0,0.0,8.0,1,2,1
28.0,2.0,0.0,19.0,3,3,1
24.0,5.0,15.789473684210526,18.0,3,2,1
20.0,3.0,0.0,12.0,3,3,1
55.0,7.0,0.0,18.0,2,1,1
25.0,2.0,0.0,9.0,3,3,1
19.0,2.0,0.0,9.0,3,2,1
29.0,3.0,0.0,23.0,2,1,0
20.0,3.0,0.0,22.0,2,3,0
19.0,4.0,0.0,22.0,3,5,1
20.0,3.0,0.0,3.0,2,3,0
33.0,3.0,0.0,4.0,3,2,1
20.0,3.0,0.0,7.0,2,2,0
19.0,3.0,0.0,15.0,2,0,0
24.0,2.0,0.0,4.0,3,3,1
16.0,2.0,0.0,13.0,2,3,1
26.0,3.0,0.0,15.0,0,1,0
15.0,2.0,0.0,17.0,3,4,1
18.0,2.0,0.0,19.0,2,3,1
16.0,2.0,0.0,21.0,1,2,0
25.0,3.0,0.0,9.0,2,1,0
,,,12.0,2,4,1
20.0,3.0,0.0,20.0,2,2,0
24.0,2.0,0.0,1.0,2,2,1
17.0,5.0,0.0,16.0,3,4,0
44.0,4.0,3.0303030303030303,16.0,3,2,1
20.0,3.0,0.0,11.0,2,3,0
51.0,7.0,0.0,14.0,3,2,1
20.0,3.0,0.0,8.0,2,2,0
17.0,2.0,0.0,23.0,1,0,0
25.0,3.0,0.0,10.0,2,0,0
20.0,3.0,0.0,10.0,2,2,0
20.0,3.0,0.0,14.0,2,3,0
36.0,5.0,0.0,8.0,1,1,1
20.0,3.0,0.0,20.0,2,3,0
19.0,2.0,0.0,10.0,3,3,1
16.0,2.0,0.0,5.0,1,2,1
18.0,2.0,0.0,17.0,3,2,1
28.0,3.0,0.0,1.0,2,2,0
23.0,2.0,0.0,9.0,3,2,1
25.0,2.0,0.0,13.0,3,3,1
22.0,3.0,0.0,15.0,2,1,0
27.0,4.0,0.0,15.0,3,3,1
20.0,3.0,0.0,13.0,2,3,0
18.0,3.0,0.0,8.0,1,1,0
24.0,2.0,4.545454545454546,0.0,2,2,1
20.0,3.0,0.0,10.0,2,2,0
22.0,3.0,0.0,8.0,2,4,1
19.0,3.0,0.0,14.0,3,2,1
17.0,2.0,0.0,11.0,2,3,1
35.0,4.0,0.0,17.0,3,2,1
90.0,10.0,20.0,19.0,2,5,1
34.0,4.0,0.0,19.0,2,3,0
25.0,3.0,0.0,3.0,2,2,0
23.0,2.0,0.0,11.0,3,2,0
